Revision, Part, Chapter, Section
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.4.1 Maintenance Operations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.5 Endian, Byte Ordering, and Alignment'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1 Request Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.1 Addressing and Alignment'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.2 Field Definitions for All Request Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.3 Type 0 Packet Format (Implementation-Defined)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.4 Type 1 Packet Format (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.5 Type 2 Packet Format (Request Class)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.6 Type 3–4 Packet Formats (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.7 Type 5 Packet Format (Write Class)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.8 Type 6 Packet Format (Streaming-Write Class)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.9 Type 7 Packet Format (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.10 Type 8 Packet Format (Maintenance Class)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1.11 Type 9–11 Packet Formats (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2 Response Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.1 Field Definitions for All Response Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.2 Type 12 Packet Format (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.3 Type 13 Packet Format (Response Class)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.4 Type 14 Packet Format (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.5 Type 15 Packet Format (Implementation-Defined)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.1 Register Summary'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.2 Reserved Register, Bit and Bit Field Value Behavior'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.3 Extended Features Data Structure'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4 Capability Registers (CARs)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.1 Device Identity CAR (Configuration Space Offset 0x0)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.2 Device Information CAR (Configuration Space Offset 0x4)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.3 Assembly Identity CAR (Configuration Space Offset 0x8)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.4 Assembly Information CAR (Configuration Space Offset 0xC)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.5 Processing Element Features CAR (Configuration Space Offset 0x10)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.6 Switch Port Information CAR (Configuration Space Offset 0x14)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.7 Source Operations CAR (Configuration Space Offset 0x18)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.4.8 Destination Operations CAR (Configuration Space Offset 0x1C)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.5 Command and Status Registers (CSRs)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.5.1 Processing Element Logical Layer Control CSR (Configuration Space Offset 0x4C)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.5.2 Local Configuration Space Base Address 0 CSR (Configuration Space Offset 0x58)'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 5 Input/Output Registers', '5.5.3 Local Configuration Space Base Address 1 CSR (Configuration Space Offset 0x5C)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.2 Overview'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.3 Features of the Message Passing Specification'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.3.1 Functional Features'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.3.2 Physical Features'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.3.3 Performance Features'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.4 Contents'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.5 Terminology'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 1 Overview', '1.6 Conventions'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2 Processing Element Models'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2.1 Processor-Memory Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2.2 Integrated Processor-Memory Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2.3 Memory-Only Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2.4 Processor-Only Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2.5 I/O Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.2.6 Switch Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.3 Message Passing System Model'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.3.1 Data Message Operations'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.3.2 Doorbell Message Operations'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.4 System Issues'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.4.1 Operation Ordering'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.4.2 Transaction Delivery'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 2 System Models', '2.4.3 Deadlock Considerations'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 3 Operation Descriptions', '3.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 3 Operation Descriptions', '3.2 Message Passing Operations Cross Reference'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 3 Operation Descriptions', '3.3 Message Passing Operations'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 3 Operation Descriptions', '3.3.1 Doorbell Operations'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 3 Operation Descriptions', '3.3.2 Data Message Operations'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 3 Operation Descriptions', '3.4 Endian, Byte Ordering, and Alignment'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2 Request Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.1 Field Definitions for All Request Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.2 Type 0 Packet Format (Implementation-Defined)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.3 Type 1–9 Packet Formats (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.4 Type 10 Packet Formats (Doorbell Class)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.2.5 Type 11 Packet Format (Message Class)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.3 Response Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.3.1 Field Definitions for All Response Packet Formats'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.3.2 Type 12 Packet Format (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.3.3 Type 13 Packet Format (Response Class)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.3.4 Type 14 Packet Format (Reserved)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 4 Packet Format Descriptions', '4.3.5 Type 15 Packet Format (Implementation-Defined)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.2 Register Summary'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.3 Reserved Register, Bit and Bit Field Value Behavior'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.4 Capability Registers (CARs)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.4.1 Source Operations CAR (Configuration Space Offset 0x18)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.4.2 Destination Operations CAR (Configuration Space Offset 0x1C)'
'4.0', 'RapidIO Interconnect Specification Part 2: Message Passing Logical Specification', 'Chapter 5 Message Passing Registers', '5.5 Command and Status Registers (CSRs)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.2 Overview'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.3 Transport Layer Features'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.3.1 Functional Features'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.3.2 Physical Features'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.3.3 Performance Features'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.4 Contents'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.5 Terminology'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 1 Overview', '1.6 Conventions'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.2 System Topology'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.2.1 Switch-Based Systems'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.2.2 Ring-Based Systems'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.3 System Packet Routing'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.4 Field Alignment and Definition'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 2 Transport Format Description', '2.5 Routing Maintenance Packets'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.2 Register Summary'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.3 Reserved Register, Bit and Bit Field Value Behavior'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.4 Capability Registers (CARs)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.4.1 Processing Element Features CAR (Configuration Space Offset 0x10)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.4.2 Switch Route Table Destination ID Limit CAR (Configuration Space Offset 0x34)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5 Command and Status Registers (CSRs)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.1 Base Device ID CSR (Configuration Space Offset 0x60)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.2 Dev32 Base Device ID CSR (Configuration Space Offset 0x64)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.3 Host Base Device ID Lock CSR (Configuration Space Offset 0x68)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.4 Component Tag CSR (Configuration Space Offset 0x6C)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.5 Standard Route Cfg Destination ID Select CSR (Configuration Space Offset 0x70)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.6 Standard Route Cfg Port Select CSR (Configuration Space Offset 0x74)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.5.7 Standard Route Default Port CSR (Configuration Space Offset 0x78)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6 Switch Routing Table Register Block'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.1 Register Map'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.2 Switch Routing Table Register Block Header (Block Offset 0x0)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.3 Broadcast Routing Table Control CSR (Block Offset 0x20)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.4 Broadcast Level 0 Info CSR (Block Offset 0x30)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.5 Broadcast Level 1 Info CSR (Block Offset 0x34)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.6 Broadcast Level 2 Info CSR (Block Offset 0x38)'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.7 Port n Routing Table Control CSRs (Block Offset 0x40 + (0x20 * n))'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.8 Port n Level 0 Info CSRs (Block Offset 0x50 + (0x20 * n))'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.9 Port n Level 1 Info CSRs (Block Offset 0x54 + (0x20 * n))'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.6.10 Port n Level 2 Info CSRs (Block Offset 0x58 + (0x20 * n))'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7 Routing Table Group Register Format'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7.1 Broadcast Level 0 Group x Entry y Routing Table Entry'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7.2 Broadcast Level 1 Group x Entry y Routing Table Entry'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7.3 Broadcast Level 2 Group x Entry y Routing Table Entry'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7.4 Level 0 Group x Entry y Routing Table Entry CSR (Offset = (L0_Group_Ptr*0x400) + (x * 0x400) + (y*4))'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7.5 Level 1 Group x Entry y Routing Table Entry CSR (Offset = (L1_Group_Ptr*0x400) + (x * 0x400) + (y*4))'
'4.0', 'RapidIO Interconnect Specification Part 3: Common Transport Specification', 'Chapter 3 Common Transport Registers', '3.7.6 Level 2 Group x Entry y Routing Table Entry CSR (Offset = (L2_Group_Ptr*0x400) + (x * 0x400) + (y*4))'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.2 Overview'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.2.1 Memory System'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.3 Features of the Globally Shared Memory Specification'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.3.1 Functional Features'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.3.2 Physical Features'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.3.3 Performance Features'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.4 Contents'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.5 Terminology'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 1 Overview', '1.6 Conventions'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2 Processing Element Models'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2.1 Processor-Memory Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2.2 Integrated Processor-Memory Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2.3 Memory-Only Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2.4 Processor-Only Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2.5 I/O Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.2.6 Switch Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.3 Programming Models'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.3.1 Globally Shared Memory System Model'
'4.0', 'RapidIO Interconnect Specification Part 5: Globally Shared Memory Logical Specification', 'Chapter 2 System Models', '2.3.1.1 Software-Managed Cache Coherence Programming Model'
