'Revision', 'Part', 'Chapter', 'Section', 'Revision', 'Part', 'Chapter', 'Section'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.3 Command and Status Registers (CSRs)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.3 Command and Status Registers (CSRs)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.3.1 Multicast Mask Port CSR (Configuration Space Offset 0x80)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.3.1 Multicast Mask Port CSR (Configuration Space Offset 0x80)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.3.2 Multicast Associate Select CSR (Configuration Space Offset 0x84)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.3.2 Multicast Associate Select CSR (Configuration Space Offset 0x84)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.3.3 Multicast Associate Operation CSR (Configuration Space Offset 0x88)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.3.3 Multicast Associate Operation CSR (Configuration Space Offset 0x88)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4 Switch Routing Table Register Block', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4 Switch Routing Table Register Block'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.1 Register Map', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.1 Register Map'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.2 Broadcast Routing Table Control CSR (Block Offset 0x20)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.2 Broadcast Routing Table Control CSR (Block Offset 0x20)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.3 Broadcast Multicast Info CSR (Block Offset 0x28)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.3 Broadcast Multicast Info CSR (Block Offset 0x28)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.5 Port n Routing Table Control CSR (Block Offset 0x40 + (0x20 * n))', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.4 Port n Routing Table Control CSR (Block Offset 0x40 + (0x20 * n))'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.6 Port n Multicast Info CSR (Block Offset 0x48 + 20 * n)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.5 Port n Multicast Info CSR (Block Offset 0x48 + 20 * n)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.8 Broadcast Multicast Mask x Set Register y CSR (Offset = (Mask_Ptr * 0x400) + (x*8*2^Mask_size) + (y*4))', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.6 Broadcast Multicast Mask x Set Register y CSR (Offset = (Mask_Ptr * 0x400) + (x*8*2^Mask_size) + (y*4))'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.9 Broadcast Multicast Mask x Clear Register y CSR (Offset = (Mask_Ptr * 0x400) + (x * 8*2^Mask_size) + (4*2^Mask_size) + (y*4))', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.7 Broadcast Multicast Mask x Clear Register y CSR (Offset = (Mask_Ptr * 0x400) + (x * 8*2^Mask_size) + (4*2^Mask_size) + (y*4))'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.14 Port n Multicast Mask x Set Register y CSR (Offset = (Mask_Ptr * 400) + (x * 8*2^Mask_size) + (y*4))', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.8 Port n Multicast Mask x Set Register y CSR (Offset = (Mask_Ptr * 400) + (x * 8*2^Mask_size) + (y*4))'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 4 Multicast and Port Aggregation Extensions Registers', '4.4.15 Port n Multicast Mask x Clear Register y CSR (Offset = (Mask_Ptr * 400) + (x * 8*2^Mask_size) + (4*2^Mask_size)', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 3 Multicast Extensions Registers', '3.4.9 Port n Multicast Mask x Clear Register y CSR (Offset = (Mask_Ptr * 400) + (x * 8*2^Mask_size) + (4*2^Mask_size)'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.1 Introduction', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.1 Introduction'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.2 Configuring Multicast Masks', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.2 Configuring Multicast Masks'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.2.1 Clearing Multicast Masks', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.2.1 Clearing Multicast Masks'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.2.2 Assigning Ports to Multicast Masks', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.2.2 Assigning Ports to Multicast Masks'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.2.3 Removing a Port from a Multicast Mask', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.2.3 Removing a Port from a Multicast Mask'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.2.4 Querying a Multicast Mask', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.2.4 Querying a Multicast Mask'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.3 Simple Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.3 Simple Association'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.3.1 Restrictions on Block Size', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.3.1 Restrictions on Block Size'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.3.2 Restrictions on Block Associate', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.3.2 Restrictions on Block Associate'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.3.3 Restrictions on Associations', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.3.3 Restrictions on Associations'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4 Configuring Associations', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4 Configuring Associations'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4.1 Basic Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4.1 Basic Association'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4.2 Using Per-Ingress Port Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4.2 Using Per-Ingress Port Association'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4.3 Using Block Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4.3 Using Block Association'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4.4 Using Per-Ingress Port and Block Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4.4 Using Per-Ingress Port and Block Association'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4.5 Removing a Destination ID to Multicast Mask Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4.5 Removing a Destination ID to Multicast Mask Association'
'4.1', 'RapidIO Interconnect Specification Part 11: Multicast and Port Aggregation Group Extensions Specification', 'Chapter 5 Configuration Examples', '5.4.6 Querying an Association', '4.0', 'RapidIO Interconnect Specification Part 11: Multicast Extensions Specification', 'Chapter 4 Configuration Examples', '4.4.6 Querying an Association'
Unmatched new items, interleaved with old
Unmatched old items
